X	Graphic Profile 1
487.674799646	269.7866
488.674133251	269.8327
489.673466858	269.891
490.672800464	269.9542
491.67213407	270.0294
492.671467676	270.1148
493.670801283	270.1843
494.670134889	270.2391
495.669468492	270.3146
496.668802098	270.3827
497.668135705	270.4429
498.667469311	270.5029
499.666802917	270.5595
500.666136522	270.6164
501.665470129	270.6845
502.664803733	270.7403
503.664137339	270.7994
504.663470945	270.8898
505.662804554	270.958
506.662138158	271.008
507.661471762	271.0718
508.660805368	271.1661
509.660138974	271.2735
510.659472581	271.3615
511.658806186	271.4371
512.658139792	271.5014
513.657473398	271.5699
514.656807005	271.6465
515.656140611	271.7233
516.655474214	271.7918
517.654807822	271.8528
518.654141429	271.9294
519.653475031	272.0013
520.652808639	272.0748
521.652142245	272.1733
522.651475852	272.2465
523.650809454	272.3219
524.650143061	272.3858
525.649476667	272.4374
526.648810273	272.4945
527.648143879	272.5553
528.647477486	272.6084
529.646811092	272.6472
530.646144697	272.6787
531.645478302	272.744
532.644811909	272.8097
533.644145514	272.8695
534.64347912	272.9236
535.642812726	272.9616
536.642146333	272.9819
537.641479938	273.0113
538.640813544	273.1216
539.64014715	273.2389
540.639480757	273.2873
541.638814361	273.2778
542.638147967	273.2501
543.637481573	273.2329
544.63681518	273.2746
545.636148784	273.3181
546.635482389	273.3508
547.634815995	273.3906
548.634149601	273.4459
549.633483208	273.512
550.632816814	273.5525
551.63215042	273.5438
552.631484026	273.5103
553.630817632	273.4789
554.630151236	273.4674
555.629484842	273.4795
556.628818448	273.4906
557.628152055	273.4944
558.62748566	273.5019
559.626819266	273.5041
560.626152872	273.5401
561.625486479	273.6074
562.624820083	273.6804
563.624153689	273.7516
564.623487295	273.8202
565.622820903	273.8609
566.622154505	273.8598
567.621488112	273.8266
568.620821718	273.8107
569.620155323	273.8438
570.619488929	273.9176
571.618822536	273.9796
572.618156142	274.0186
573.617489748	274.0624
574.616823354	274.0843
575.616156961	274.0784
576.615490566	274.0695
577.614824172	274.0612
578.614157776	274.0462
579.613491383	274.0408
580.612824989	274.0718
581.612158594	274.1147
582.6114922	274.1388
583.610825807	274.1934
584.610159411	274.2622
585.609493017	274.3013
586.608826623	274.3425
587.608160229	274.4089
588.607493835	274.4668
589.606827441	274.4931
590.606161046	274.5376
591.605494652	274.5898
592.604828258	274.642
593.604161866	274.7074
594.60349547	274.7911
595.602829076	274.8861
596.602162682	274.9731
597.601496288	275.0256
598.600829894	275.0399
599.6001635	275.0535
600.599497106	275.1093
601.59883071	275.1642
602.598164315	275.2238
603.597497923	275.3101
604.596831529	275.4
605.596165135	275.46
606.595498739	275.4903
607.594832345	275.5118
608.594165951	275.5358
609.593499558	275.5951
610.592833164	275.6797
611.592166769	275.7467
612.591500375	275.8348
613.590833982	275.9134
614.590167586	275.9692
615.589501192	276.0333
616.5888348	276.1168
617.588168407	276.2054
618.58750201	276.3068
619.586835616	276.4166
620.586169222	276.5168
621.585502829	276.6302
622.584836435	276.7273
623.584170039	276.817
624.583503645	276.9195
625.582837253	276.9871
626.582170858	277.0862
627.581504461	277.1532
628.580838069	277.1694
629.580171675	277.1658
630.579505279	277.1525
631.578838886	277.1507
632.578172492	277.163
633.577506098	277.1787
634.576839704	277.1768
635.57617331	277.1839
636.575506916	277.205
637.574840522	277.2275
638.574174126	277.2503
639.573507732	277.2557
640.57284134	277.2504
641.572174946	277.242
642.57150855	277.2424
643.570842157	277.2522
644.570175761	277.2616
645.569509367	277.2521
646.568842972	277.2304
647.568176578	277.2137
648.567510185	277.1957
649.566843791	277.1781
650.566177396	277.1768
651.565511003	277.2065
652.56484461	277.23
653.564178214	277.2637
