"Points:0","Points:1","Points:2"
2.75,0.5,242.69215
3.25,0.5,255.61533
3.25,0.5,254.06533
3.25,0.5,252.01533
3.25,0.5,249.46532
3.25,0.5,246.41533
3.25,0.5,242.86533
3.75,0.5,255.81232
3.75,0.5,254.26232
3.75,0.5,252.21232
3.75,0.5,249.66232
3.75,0.5,246.61232
3.75,0.5,243.06232
4.25,0.5,255.99224
4.25,0.5,254.44225
4.25,0.5,252.39225
4.25,0.5,249.84225
4.25,0.5,246.79225
4.25,0.5,243.24225
4.75,0.5,260.37994
4.75,0.5,260.32994
4.75,0.5,260.27995
4.75,0.5,260.22994
4.75,0.5,260.17995
4.75,0.5,260.12994
4.75,0.5,260.07994
4.75,0.5,260.02995
4.75,0.5,259.97994
4.75,0.5,259.92995
4.75,0.5,259.87994
4.75,0.5,259.82994
4.75,0.5,259.77995
4.75,0.5,259.72994
4.75,0.5,259.67995
4.75,0.5,259.62994
4.75,0.5,259.57994
4.75,0.5,259.52995
4.75,0.5,259.47994
4.75,0.5,259.42995
4.75,0.5,259.37994
4.75,0.5,259.32994
4.75,0.5,259.27995
4.75,0.5,259.22994
4.75,0.5,259.17995
4.75,0.5,259.12994
4.75,0.5,259.07994
4.75,0.5,259.02995
4.75,0.5,258.97994
4.75,0.5,258.92995
4.75,0.5,258.87994
4.75,0.5,258.82994
4.75,0.5,258.77995
4.75,0.5,258.72994
4.75,0.5,258.67995
4.75,0.5,258.62994
4.75,0.5,258.57994
4.75,0.5,258.52995
4.75,0.5,258.47994
4.75,0.5,258.42995
4.75,0.5,258.37994
4.75,0.5,258.32994
4.75,0.5,258.27995
4.75,0.5,258.22994
4.75,0.5,258.17995
4.75,0.5,258.12994
4.75,0.5,258.07994
4.75,0.5,258.02995
4.75,0.5,257.97994
4.75,0.5,257.92995
4.75,0.5,257.75494
4.75,0.5,257.20494
4.75,0.5,256.15495
5.25,0.5,260.5034
5.25,0.5,260.45339
5.25,0.5,260.40339
5.25,0.5,260.35339
5.25,0.5,260.30339
5.25,0.5,260.2534
5.25,0.5,260.20339
5.25,0.5,260.15339
5.25,0.5,260.10339
5.25,0.5,260.05339
5.25,0.5,260.0034
5.25,0.5,259.95339
5.25,0.5,259.90339
5.25,0.5,259.85339
5.25,0.5,259.80339
5.25,0.5,259.7534
5.25,0.5,259.70339
5.25,0.5,259.65339
5.25,0.5,259.60339
5.25,0.5,259.55339
5.25,0.5,259.5034
5.25,0.5,259.45339
5.25,0.5,259.40339
5.25,0.5,259.35339
5.25,0.5,259.30339
5.25,0.5,259.2534
5.25,0.5,259.20339
5.25,0.5,259.15339
5.25,0.5,259.10339
5.25,0.5,259.05339
5.25,0.5,259.0034
5.25,0.5,258.95339
5.25,0.5,258.90339
5.25,0.5,258.85339
5.25,0.5,258.80339
5.25,0.5,258.7534
5.25,0.5,258.70339
5.25,0.5,258.65339
5.25,0.5,258.60339
5.25,0.5,258.55339
5.25,0.5,258.5034
5.25,0.5,258.45339
5.25,0.5,258.40339
5.25,0.5,258.35339
5.25,0.5,258.30339
5.25,0.5,258.2534
5.25,0.5,258.20339
5.25,0.5,258.15339
5.25,0.5,258.10339
5.25,0.5,258.05339
5.25,0.5,257.8784
5.25,0.5,257.32839
5.25,0.5,256.27839
5.75,0.5,260.58778
5.75,0.5,260.53779
5.75,0.5,260.48779
5.75,0.5,260.43778
5.75,0.5,260.38778
5.75,0.5,260.33778
5.75,0.5,260.28779
5.75,0.5,260.23779
5.75,0.5,260.18778
5.75,0.5,260.13778
5.75,0.5,260.08778
5.75,0.5,260.03779
5.75,0.5,259.98779
5.75,0.5,259.93778
5.75,0.5,259.88778
5.75,0.5,259.83778
5.75,0.5,259.78779
5.75,0.5,259.73779
5.75,0.5,259.68778
5.75,0.5,259.63778
5.75,0.5,259.58778
5.75,0.5,259.53779
5.75,0.5,259.48779
5.75,0.5,259.43778
5.75,0.5,259.38778
5.75,0.5,259.33778
5.75,0.5,259.28779
5.75,0.5,259.23779
5.75,0.5,259.18778
5.75,0.5,259.13778
5.75,0.5,259.08778
5.75,0.5,259.03779
5.75,0.5,258.98779
5.75,0.5,258.93778
5.75,0.5,258.88778
5.75,0.5,258.83778
5.75,0.5,258.78779
5.75,0.5,258.73779
5.75,0.5,258.68778
5.75,0.5,258.63778
5.75,0.5,258.58778
5.75,0.5,258.53779
5.75,0.5,258.48779
5.75,0.5,258.43778
5.75,0.5,258.38778
5.75,0.5,258.33778
5.75,0.5,258.28779
5.75,0.5,258.23779
5.75,0.5,258.18778
5.75,0.5,258.13778
5.75,0.5,257.96278
5.75,0.5,257.41279
5.75,0.5,256.36279
6.25,0.5,260.66444
6.25,0.5,260.61446
6.25,0.5,260.56445
6.25,0.5,260.51445
6.25,0.5,260.46445
6.25,0.5,260.41444
6.25,0.5,260.36446
6.25,0.5,260.31445
6.25,0.5,260.26445
6.25,0.5,260.21445
6.25,0.5,260.16444
6.25,0.5,260.11446
6.25,0.5,260.06445
6.25,0.5,260.01445
6.25,0.5,259.96445
6.25,0.5,259.91444
6.25,0.5,259.86446
6.25,0.5,259.81445
6.25,0.5,259.76445
6.25,0.5,259.71445
6.25,0.5,259.66444
6.25,0.5,259.61446
6.25,0.5,259.56445
6.25,0.5,259.51445
6.25,0.5,259.46445
6.25,0.5,259.41444
6.25,0.5,259.36446
6.25,0.5,259.31445
6.25,0.5,259.26445
6.25,0.5,259.21445
6.25,0.5,259.16444
6.25,0.5,259.11446
6.25,0.5,259.06445
6.25,0.5,259.01445
6.25,0.5,258.96445
6.25,0.5,258.91444
6.25,0.5,258.86446
6.25,0.5,258.81445
6.25,0.5,258.76445
6.25,0.5,258.71445
6.25,0.5,258.66444
6.25,0.5,258.61446
6.25,0.5,258.56445
6.25,0.5,258.51445
6.25,0.5,258.46445
6.25,0.5,258.41444
6.25,0.5,258.36446
6.25,0.5,258.31445
6.25,0.5,258.26445
6.25,0.5,258.21445
6.25,0.5,258.03944
6.25,0.5,257.48946
6.25,0.5,256.43946
4.75,0.5,254.60495
4.75,0.5,252.55495
4.75,0.5,250.00494
4.75,0.5,246.95494
4.75,0.5,243.40495
5.25,0.5,254.72839
5.25,0.5,252.67839
5.25,0.5,250.12839
5.25,0.5,247.07839
5.25,0.5,243.52839
5.75,0.5,254.81279
5.75,0.5,252.76279
5.75,0.5,250.21278
5.75,0.5,247.16278
5.75,0.5,243.61279
6.25,0.5,254.88945
6.25,0.5,252.83945
6.25,0.5,250.28945
6.25,0.5,247.23945
6.25,0.5,243.68945
6.75,0.5,260.73335
6.75,0.5,260.68336
6.75,0.5,260.63335
6.75,0.5,260.58336
6.75,0.5,260.53336
6.75,0.5,260.48335
6.75,0.5,260.43336
6.75,0.5,260.38335
6.75,0.5,260.33336
6.75,0.5,260.28336
6.75,0.5,260.23335
6.75,0.5,260.18336
6.75,0.5,260.13335
6.75,0.5,260.08336
6.75,0.5,260.03336
6.75,0.5,259.98335
6.75,0.5,259.93336
6.75,0.5,259.88335
6.75,0.5,259.83336
6.75,0.5,259.78336
6.75,0.5,259.73335
6.75,0.5,259.68336
6.75,0.5,259.63335
6.75,0.5,259.58336
6.75,0.5,259.53336
6.75,0.5,259.48335
6.75,0.5,259.43336
6.75,0.5,259.38335
6.75,0.5,259.33336
6.75,0.5,259.28336
6.75,0.5,259.23335
6.75,0.5,259.18336
6.75,0.5,259.13335
6.75,0.5,259.08336
6.75,0.5,259.03336
6.75,0.5,258.98335
6.75,0.5,258.93336
6.75,0.5,258.88335
6.75,0.5,258.83336
6.75,0.5,258.78336
6.75,0.5,258.73335
6.75,0.5,258.68336
6.75,0.5,258.63335
6.75,0.5,258.58336
6.75,0.5,258.53336
6.75,0.5,258.48335
6.75,0.5,258.43336
6.75,0.5,258.38335
6.75,0.5,258.33336
6.75,0.5,258.28336
6.75,0.5,258.10835
6.75,0.5,257.55836
6.75,0.5,256.50835
7.25,0.5,260.79253
7.25,0.5,260.74253
7.25,0.5,260.69253
7.25,0.5,260.64253
7.25,0.5,260.59253
7.25,0.5,260.54253
7.25,0.5,260.49253
7.25,0.5,260.44253
7.25,0.5,260.39253
7.25,0.5,260.34253
7.25,0.5,260.29253
7.25,0.5,260.24253
7.25,0.5,260.19253
7.25,0.5,260.14253
7.25,0.5,260.09253
7.25,0.5,260.04253
7.25,0.5,259.99253
7.25,0.5,259.94253
7.25,0.5,259.89253
7.25,0.5,259.84253
7.25,0.5,259.79253
7.25,0.5,259.74253
7.25,0.5,259.69253
7.25,0.5,259.64253
7.25,0.5,259.59253
7.25,0.5,259.54253
7.25,0.5,259.49253
7.25,0.5,259.44253
7.25,0.5,259.39253
7.25,0.5,259.34253
7.25,0.5,259.29253
7.25,0.5,259.24253
7.25,0.5,259.19253
7.25,0.5,259.14253
7.25,0.5,259.09253
7.25,0.5,259.04253
7.25,0.5,258.99253
7.25,0.5,258.94253
7.25,0.5,258.89253
7.25,0.5,258.84253
7.25,0.5,258.79253
7.25,0.5,258.74253
7.25,0.5,258.69253
7.25,0.5,258.64253
7.25,0.5,258.59253
7.25,0.5,258.54253
7.25,0.5,258.49253
7.25,0.5,258.44253
7.25,0.5,258.39253
7.25,0.5,258.34253
7.25,0.5,258.16753
7.25,0.5,257.61753
7.25,0.5,256.56753
7.75,0.5,260.84204
7.75,0.5,260.79205
7.75,0.5,260.74204
7.75,0.5,260.69205
7.75,0.5,260.64204
7.75,0.5,260.59204
7.75,0.5,260.54205
7.75,0.5,260.49204
7.75,0.5,260.44205
7.75,0.5,260.39204
7.75,0.5,260.34204
7.75,0.5,260.29205
7.75,0.5,260.24204
7.75,0.5,260.19205
7.75,0.5,260.14204
7.75,0.5,260.09204
7.75,0.5,260.04205
7.75,0.5,259.99204
7.75,0.5,259.94205
7.75,0.5,259.89204
7.75,0.5,259.84204
7.75,0.5,259.79205
7.75,0.5,259.74204
7.75,0.5,259.69205
7.75,0.5,259.64204
7.75,0.5,259.59204
7.75,0.5,259.54205
7.75,0.5,259.49204
7.75,0.5,259.44205
7.75,0.5,259.39204
7.75,0.5,259.34204
7.75,0.5,259.29205
7.75,0.5,259.24204
7.75,0.5,259.19205
7.75,0.5,259.14204
7.75,0.5,259.09204
7.75,0.5,259.04205
7.75,0.5,258.99204
7.75,0.5,258.94205
7.75,0.5,258.89204
7.75,0.5,258.84204
7.75,0.5,258.79205
7.75,0.5,258.74204
7.75,0.5,258.69205
7.75,0.5,258.64204
7.75,0.5,258.59204
7.75,0.5,258.54205
7.75,0.5,258.49204
7.75,0.5,258.44205
7.75,0.5,258.39204
7.75,0.5,258.21704
7.75,0.5,257.66705
7.75,0.5,256.61704
8.25,0.5,260.88983
8.25,0.5,260.83983
8.25,0.5,260.78983
8.25,0.5,260.73984
8.25,0.5,260.68983
8.25,0.5,260.63983
8.25,0.5,260.58983
8.25,0.5,260.53983
8.25,0.5,260.48984
8.25,0.5,260.43983
8.25,0.5,260.38983
8.25,0.5,260.33983
8.25,0.5,260.28983
8.25,0.5,260.23984
8.25,0.5,260.18983
8.25,0.5,260.13983
8.25,0.5,260.08983
8.25,0.5,260.03983
8.25,0.5,259.98984
8.25,0.5,259.93983
8.25,0.5,259.88983
8.25,0.5,259.83983
8.25,0.5,259.78983
8.25,0.5,259.73984
8.25,0.5,259.68983
8.25,0.5,259.63983
8.25,0.5,259.58983
8.25,0.5,259.53983
8.25,0.5,259.48984
8.25,0.5,259.43983
8.25,0.5,259.38983
8.25,0.5,259.33983
8.25,0.5,259.28983
8.25,0.5,259.23984
8.25,0.5,259.18983
8.25,0.5,259.13983
8.25,0.5,259.08983
8.25,0.5,259.03983
8.25,0.5,258.98984
8.25,0.5,258.93983
8.25,0.5,258.88983
8.25,0.5,258.83983
8.25,0.5,258.78983
8.25,0.5,258.73984
8.25,0.5,258.68983
8.25,0.5,258.63983
8.25,0.5,258.58983
8.25,0.5,258.53983
8.25,0.5,258.48984
8.25,0.5,258.43983
8.25,0.5,258.26483
8.25,0.5,257.71483
8.25,0.5,256.66483
8.75,0.5,260.93583
8.75,0.5,260.88583
8.75,0.5,260.83583
8.75,0.5,260.78584
8.75,0.5,260.73583
8.75,0.5,260.68583
8.75,0.5,260.63583
8.75,0.5,260.58583
8.75,0.5,260.53584
8.75,0.5,260.48583
8.75,0.5,260.43583
8.75,0.5,260.38583
8.75,0.5,260.33583
8.75,0.5,260.28584
8.75,0.5,260.23583
8.75,0.5,260.18583
8.75,0.5,260.13583
8.75,0.5,260.08583
8.75,0.5,260.03584
8.75,0.5,259.98583
8.75,0.5,259.93583
8.75,0.5,259.88583
8.75,0.5,259.83583
8.75,0.5,259.78584
8.75,0.5,259.73583
8.75,0.5,259.68583
8.75,0.5,259.63583
8.75,0.5,259.58583
8.75,0.5,259.53584
8.75,0.5,259.48583
8.75,0.5,259.43583
8.75,0.5,259.38583
8.75,0.5,259.33583
8.75,0.5,259.28584
8.75,0.5,259.23583
8.75,0.5,259.18583
8.75,0.5,259.13583
8.75,0.5,259.08583
8.75,0.5,259.03584
8.75,0.5,258.98583
