CellCenters:0,CellCenters:1,CellCenters:2
0.85,0.5,256.99
0.85,0.5,256.95
0.85,0.5,256.9
0.85,0.5,256.85
0.85,0.5,256.79
0.85,0.5,256.74
0.85,0.5,256.7
0.85,0.5,256.65
0.85,0.5,256.6
0.85,0.5,256.54
0.85,0.5,256.49
0.85,0.5,256.45
0.85,0.5,256.4
0.85,0.5,256.35
0.85,0.5,256.29
0.85,0.5,256.24
0.85,0.5,256.2
0.85,0.5,256.15
0.85,0.5,256.1
0.85,0.5,256.04
0.85,0.5,255.87
0.85,0.5,255.32
0.85,0.5,254.27
0.85,0.5,252.72
0.85,0.5,250.67
0.85,0.5,248.12
0.85,0.5,245.07
0.85,0.5,241.52
0.95,0.5,258.5
0.95,0.5,258.45
0.95,0.5,258.4
0.95,0.5,258.35
0.95,0.5,258.3
0.95,0.5,258.25
0.95,0.5,258.2
0.95,0.5,258.15
0.95,0.5,258.1
0.95,0.5,258.05
1.05,0.5,258.54
1.05,0.5,258.49
1.05,0.5,258.44
1.05,0.5,258.39
1.05,0.5,258.34
1.05,0.5,258.29
1.05,0.5,258.24
1.05,0.5,258.19
1.05,0.5,258.14
1.05,0.5,258.09
0.95,0.5,258
0.95,0.5,257.95
0.95,0.5,257.9
0.95,0.5,257.85
0.95,0.5,257.8
0.95,0.5,257.75
0.95,0.5,257.7
0.95,0.5,257.65
0.95,0.5,257.6
0.95,0.5,257.55
0.95,0.5,257.5
0.95,0.5,257.45
0.95,0.5,257.4
0.95,0.5,257.35
0.95,0.5,257.3
0.95,0.5,257.25
0.95,0.5,257.2
0.95,0.5,257.15
0.95,0.5,257.1
0.95,0.5,257.05
0.95,0.5,257
0.95,0.5,256.95
0.95,0.5,256.9
0.95,0.5,256.85
0.95,0.5,256.8
0.95,0.5,256.75
0.95,0.5,256.7
0.95,0.5,256.65
0.95,0.5,256.6
0.95,0.5,256.55
0.95,0.5,256.5
0.95,0.5,256.45
0.95,0.5,256.4
0.95,0.5,256.35
0.95,0.5,256.3
0.95,0.5,256.25
0.95,0.5,256.2
0.95,0.5,256.15
0.95,0.5,256.1
0.95,0.5,256.05
0.95,0.5,255.87
0.95,0.5,255.32
0.95,0.5,254.27
0.95,0.5,252.72
0.95,0.5,250.67
0.95,0.5,248.12
0.95,0.5,245.07
0.95,0.5,241.52
1.05,0.5,258.04
1.05,0.5,257.99
1.05,0.5,257.94
1.05,0.5,257.89
1.05,0.5,257.84
1.05,0.5,257.79
1.05,0.5,257.74
1.05,0.5,257.69
1.05,0.5,257.64
1.05,0.5,257.59
1.05,0.5,257.54
1.05,0.5,257.49
1.05,0.5,257.44
1.05,0.5,257.39
1.05,0.5,257.34
1.05,0.5,257.29
1.05,0.5,257.24
1.05,0.5,257.19
